"","Dec_time","Condition","date","Dec_ZT_time","mean_of_sleep_counts","sem"
"4329",8,"wt",2024-02-27,1088,0.793103448275862,0.0765530555069953
"4330",9,"wt",2024-02-27,1089,0.827586206896552,0.0713860923457608
"4331",10,"wt",2024-02-27,1090,0.724137931034483,0.0844651635442475
"4332",11,"wt",2024-02-27,1091,0.655172413793103,0.0898255296985737
"4333",12,"wt",2024-02-27,1092,0.689655172413793,0.0874297504891569
"4334",13,"wt",2024-02-27,1093,0.689655172413793,0.0874297504891569
"4335",14,"wt",2024-02-27,1094,0.655172413793103,0.0898255296985737
"4336",15,"wt",2024-02-27,1095,0.586206896551724,0.0930760769837004
"4337",16,"wt",2024-02-27,1096,0.551724137931034,0.0939841577750685
"4338",17,"wt",2024-02-27,1097,0.586206896551724,0.0930760769837004
"4339",18,"wt",2024-02-27,1098,0.586206896551724,0.0930760769837004
"4340",19,"wt",2024-02-27,1099,0.620689655172414,0.0916970959063364
"4341",20,"wt",2024-02-27,1100,0.620689655172414,0.0916970959063364
"4342",21,"wt",2024-02-27,1101,0.655172413793103,0.0898255296985737
"4343",22,"wt",2024-02-27,1102,0.586206896551724,0.0930760769837004
"4344",23,"wt",2024-02-27,1103,0.620689655172414,0.0916970959063364
"4345",24,"wt",2024-02-27,1104,0.620689655172414,0.0916970959063364
"4346",25,"wt",2024-02-27,1105,0.586206896551724,0.0930760769837004
"4347",26,"wt",2024-02-27,1106,0.586206896551724,0.0930760769837004
"4348",27,"wt",2024-02-27,1107,0.551724137931034,0.0939841577750685
"4349",28,"wt",2024-02-27,1108,0.586206896551724,0.0930760769837004
"4350",29,"wt",2024-02-27,1109,0.551724137931034,0.0939841577750685
"4351",30,"wt",2024-02-27,1110,0.586206896551724,0.0930760769837004
"4352",31,"wt",2024-02-27,1111,0.586206896551724,0.0930760769837004
"4353",32,"wt",2024-02-27,1112,0.586206896551724,0.0930760769837004
"4354",33,"wt",2024-02-27,1113,0.620689655172414,0.0916970959063364
"4355",34,"wt",2024-02-27,1114,0.655172413793103,0.0898255296985737
"4356",35,"wt",2024-02-27,1115,0.586206896551724,0.0930760769837004
"4357",36,"wt",2024-02-27,1116,0.620689655172414,0.0916970959063364
"4358",37,"wt",2024-02-27,1117,0.620689655172414,0.0916970959063364
"4359",38,"wt",2024-02-27,1118,0.620689655172414,0.0916970959063364
"4360",39,"wt",2024-02-27,1119,0.620689655172414,0.0916970959063364
"4361",40,"wt",2024-02-27,1120,0.655172413793103,0.0898255296985737
"4362",41,"wt",2024-02-27,1121,0.655172413793103,0.0898255296985737
"4363",42,"wt",2024-02-27,1122,0.620689655172414,0.0916970959063364
"4364",43,"wt",2024-02-27,1123,0.620689655172414,0.0916970959063364
"4365",44,"wt",2024-02-27,1124,0.620689655172414,0.0916970959063364
"4366",45,"wt",2024-02-27,1125,0.586206896551724,0.0930760769837004
"4367",46,"wt",2024-02-27,1126,0.517241379310345,0.0944349237077873
"4368",47,"wt",2024-02-27,1127,0.586206896551724,0.0930760769837004
"4369",48,"wt",2024-02-27,1128,0.551724137931034,0.0939841577750685
"4370",49,"wt",2024-02-27,1129,0.586206896551724,0.0930760769837004
"4371",50,"wt",2024-02-27,1130,0.517241379310345,0.0944349237077873
"4372",51,"wt",2024-02-27,1131,0.586206896551724,0.0930760769837004
"4373",52,"wt",2024-02-27,1132,0.586206896551724,0.0930760769837004
"4374",53,"wt",2024-02-27,1133,0.655172413793103,0.0898255296985737
"4375",54,"wt",2024-02-27,1134,0.724137931034483,0.0844651635442475
"4376",55,"wt",2024-02-27,1135,0.724137931034483,0.0844651635442475
"4377",56,"wt",2024-02-27,1136,0.724137931034483,0.0844651635442475
"4378",57,"wt",2024-02-27,1137,0.758620689655172,0.080869237238335
"4379",58,"wt",2024-02-27,1138,0.758620689655172,0.080869237238335
"4380",59,"wt",2024-02-27,1139,0.758620689655172,0.080869237238335
"4381",60,"wt",2024-02-27,1140,0.758620689655172,0.080869237238335
"4382",61,"wt",2024-02-27,1141,0.758620689655172,0.080869237238335
"4383",62,"wt",2024-02-27,1142,0.758620689655172,0.080869237238335
"4384",63,"wt",2024-02-27,1143,0.758620689655172,0.080869237238335
"4385",64,"wt",2024-02-27,1144,0.758620689655172,0.080869237238335
"4386",65,"wt",2024-02-27,1145,0.758620689655172,0.080869237238335
"4387",66,"wt",2024-02-27,1146,0.758620689655172,0.080869237238335
"4388",67,"wt",2024-02-27,1147,0.793103448275862,0.0765530555069953
"4389",68,"wt",2024-02-27,1148,0.793103448275862,0.0765530555069953
"4390",69,"wt",2024-02-27,1149,0.827586206896552,0.0713860923457608
"4391",70,"wt",2024-02-27,1150,0.793103448275862,0.0765530555069953
"4392",71,"wt",2024-02-27,1151,0.793103448275862,0.0765530555069953
"4393",72,"wt",2024-02-27,1152,0.827586206896552,0.0713860923457608
"4394",73,"wt",2024-02-27,1153,0.862068965517241,0.0651662884498668
"4395",74,"wt",2024-02-27,1154,0.827586206896552,0.0713860923457608
"4396",75,"wt",2024-02-27,1155,0.827586206896552,0.0713860923457608
"4397",76,"wt",2024-02-27,1156,0.793103448275862,0.0765530555069953
"4398",77,"wt",2024-02-27,1157,0.793103448275862,0.0765530555069953
"4399",78,"wt",2024-02-27,1158,0.758620689655172,0.080869237238335
"4400",79,"wt",2024-02-27,1159,0.724137931034483,0.0844651635442475
"4401",80,"wt",2024-02-27,1160,0.655172413793103,0.0898255296985737
"4402",81,"wt",2024-02-27,1161,0.655172413793103,0.0898255296985737
"4403",82,"wt",2024-02-27,1162,0.655172413793103,0.0898255296985737
"4404",83,"wt",2024-02-27,1163,0.620689655172414,0.0916970959063364
"4405",84,"wt",2024-02-27,1164,0.655172413793103,0.0898255296985737
"4406",85,"wt",2024-02-27,1165,0.758620689655172,0.080869237238335
"4407",86,"wt",2024-02-27,1166,0.793103448275862,0.0765530555069953
"4408",87,"wt",2024-02-27,1167,0.793103448275862,0.0765530555069953
"4409",88,"wt",2024-02-27,1168,0.758620689655172,0.080869237238335
"4410",89,"wt",2024-02-27,1169,0.689655172413793,0.0874297504891569
"4411",90,"wt",2024-02-27,1170,0.655172413793103,0.0898255296985737
"4412",91,"wt",2024-02-27,1171,0.620689655172414,0.0916970959063364
"4413",92,"wt",2024-02-27,1172,0.655172413793103,0.0898255296985737
"4414",93,"wt",2024-02-27,1173,0.655172413793103,0.0898255296985737
"4415",94,"wt",2024-02-27,1174,0.689655172413793,0.0874297504891569
"4416",95,"wt",2024-02-27,1175,0.793103448275862,0.0765530555069953
"4417",96,"wt",2024-02-27,1176,0.758620689655172,0.080869237238335
"4418",97,"wt",2024-02-27,1177,0.689655172413793,0.0874297504891569
"4419",98,"wt",2024-02-27,1178,0.689655172413793,0.0874297504891569
"4420",99,"wt",2024-02-27,1179,0.724137931034483,0.0844651635442475
"4421",100,"wt",2024-02-27,1180,0.724137931034483,0.0844651635442475
"4422",101,"wt",2024-02-27,1181,0.758620689655172,0.080869237238335
"4423",102,"wt",2024-02-27,1182,0.793103448275862,0.0765530555069953
"4424",103,"wt",2024-02-27,1183,0.793103448275862,0.0765530555069953
"4425",104,"wt",2024-02-27,1184,0.758620689655172,0.080869237238335
"4426",105,"wt",2024-02-27,1185,0.689655172413793,0.0874297504891569
"4427",106,"wt",2024-02-27,1186,0.724137931034483,0.0844651635442475
"4428",107,"wt",2024-02-27,1187,0.758620689655172,0.080869237238335
"4429",108,"wt",2024-02-27,1188,0.758620689655172,0.080869237238335
"4430",109,"wt",2024-02-27,1189,0.758620689655172,0.080869237238335
"4431",110,"wt",2024-02-27,1190,0.793103448275862,0.0765530555069953
"4432",111,"wt",2024-02-27,1191,0.827586206896552,0.0713860923457608
"4433",112,"wt",2024-02-27,1192,0.827586206896552,0.0713860923457608
"4434",113,"wt",2024-02-27,1193,0.758620689655172,0.080869237238335
"4435",114,"wt",2024-02-27,1194,0.758620689655172,0.080869237238335
"4436",115,"wt",2024-02-27,1195,0.758620689655172,0.080869237238335
"4437",116,"wt",2024-02-27,1196,0.724137931034483,0.0844651635442475
